"","J_YN2","","",""
"t1PV","yes","184","5400","3600"
"","no","185.9","310.9","125"
"","no","185.9","310.7","124.8"
"","no","185.9","310.7","124.8"
"","no","185.9","310.7","124.8"
"","no","187.8","271.6","83.8"
"","no","187.8","271.6","83.8"
