"","J_YN2","","",""
"t1PV","yes","202.1","5400","3600"
"","no","202.2","474.9","272.7"
"","no","202.2","469.7","267.5"
"","no","202.2","469.7","267.5"
"","no","202.2","469.7","267.5"
"","no","202.2","419.7","217.5"
"","no","202.2","418.4","216.2"
